source,target,weight
genre,platforms,725548
celebrities,people,688672
actors,people,671846
genre,netflix,662380
netflix,platforms,641364
actors,celebrities,637749
occasion,price,626520
celebrities,occasion,623158
celebrities,price,620946
people,price,619426
occasion,people,617162
drama,genre,610784
kate-middleton,marriage,605741
fashion,people,604504
drama,netflix,598976
netflix,netflix-india,593522
drama,platforms,589212
actors,price,584114
genre,netflix-india,583432
amazon-prime,netflix,578036
actors,occasion,575138
amazon-prime,platforms,569046
amazon-prime,genre,566178
netflix-india,platforms,563800
action,genre,556840
amazon-prime-video,netflix,545573
action,platforms,535144
crime,genre,531274
genre,thriller,530522
celebrities,fashion,523274
platforms,thriller,519912
amazon-prime-video,genre,519208
family,genre,516668
crime,platforms,512720
celebrities,genre,509904
actors,fashion,509089
drama,netflix-india,505784
celebrities,platforms,503324
family,platforms,503052
fashion,price,499664
amazon-prime-video,platforms,499568
arts,design,498782
crime,drama,496392
comedy,genre,496038
crime,thriller,495821
drama,thriller,495580
fashion,occasion,493380
amazon-prime,amazon-prime-video,491825
drama,family,488640
comedy,platforms,482278
family,netflix,481576
amazon-prime-video,netflix-india,481386
genre,romantic,481316
amazon-prime,drama,478129
crime,netflix,475589
summer-fashion,summer-trends,474952
action,netflix,471789
netflix,thriller,471636
platforms,romantic,467236
chanel,dior,465402
fashion-trends,summer-fashion,465371
action,drama,461164
amazon-prime-video,drama,460716
amazon-prime,netflix-india,460336
genre,movies,459062
celebrities,netflix,456450
movies,platforms,452426
rania-de-jordania,weddings,452358
fashion-trends,summer-trends,450489
gioielli,kate-middleton,447364
gioielli,marriage,446868
family,thriller,446056
family,netflix-india,443372
celebrities,drama,438510
action,thriller,433126
crime,family,431864
crime,netflix-india,428478
action,crime,427846
comedy,netflix,426917
netflix-india,thriller,425894
hotels,india,424570
action,netflix-india,424104
design,india,423496
india,instagram,423216
action,comedy,422549
action,celebrities,421736
chanel,christian-dior,421508
drama,romantic,420828
earrings,price,419016
amazon-prime,thriller,417068
earrings,people,416163
earrings,occasion,415910
netflix,romantic,415874
amazon-prime,celebrities,415664
hair,meghan-markle,415406
comedy,drama,414492
amazon-prime,family,413632
amazon-prime,crime,412212
healthy-power,welfare,411797
comedy,romantic,410166
action,romantic,409848
action,amazon-prime,406782
casual-wear,occasion,405636
arts,india,404898
make-up,makeup,404409
casual-wear,celebrities,404236
chanel,givenchy,404199
celebrities,thriller,404024
movies,netflix,403639
celebrities,netflix-india,403166
hair,hairstyles,402928
celebrities,earrings,402482
chanel,gucci,401196
apple,iphone,400714
design,instagram,398984
chanel,karl-lagerfeld,398331
casual-wear,price,397992
arts,instagram,396124
casual-wear,people,394662
actors,earrings,394574
beauty,dior,394128
beauty,india,394095
celebrities,crime,393748
amazon-prime-video,celebrities,392012
dior,gucci,391689
beauty,hair,391389
gucci,louis-vuitton,391062
chanel,louis-vuitton,390366
amazon-prime,comedy,389304
gigi-hadid,kendall-jenner,388557
christian-dior,dior,388064
amazon-prime-video,family,386968
comedy,netflix-india,386355
facebook,instagram,386239
actors,casual-wear,385130
beauty,design,384916
couples,love,383327
dior,givenchy,383024
dresses,people,382368
amazon-prime-video,crime,382302
dior,india,382248
platforms,zee5,381132
netflix-india,romantic,380900
celebrities,dresses,380861
chanel,india,380548
horoscopes,star-horoscope,380210
dior,louis-vuitton,379980
kate-middleton,meghan-markle,379489
dresses,price,379440
india,mumbai,379315
action,amazon-prime-video,379244
christian-dior,givenchy,379089
genre,zee5,379056
dresses,occasion,378866
angelina-jolie,hair,378282
design,hotels,378233
chanel,fendi,377940
action,family,376972
amazon-prime-video,thriller,376809
chanel,design,376802
cannes-film-festival,cate-blanchett,376134
actors,dresses,376051
cate-blanchett,jennifer-lawrence,375949
beauty,chanel,375277
kendall-jenner,kim-kardashian,373758
arts,dior,373614
design,dior,373359
fendi,gucci,373312
arts,beauty,373204
cannes-film-festival,jennifer-lawrence,372864
arts,chanel,372814
chanel,chloe,372782
chanel,giorgio-armani,371603
beyonce-knowles,jay-z,371469
earrings,fashion,371463
animals,cani,371059
hollywood,india,370773
actors,beauty,370443
fendi,louis-vuitton,370362
films,interviews,370234
anne-hathaway,cannes-film-festival,370132
bottega-veneta,gucci,369412
gender,lgbtq+,369328
givenchy,gucci,369203
katy-perry,lady-gaga,368989
cate-blanchett,kirsten-dunst,368694
kanye-west,kim-kardashian,368413
beauty,make-up,368195
giorgio-armani,givenchy,368078
cate-blanchett,julianne-moore,367306
burberry,gucci,367135
bella-hadid,gigi-hadid,367075
alexa-chung,gigi-hadid,366951
celebrities,comedy,366947
christian-dior,louis-vuitton,366359
dior,fendi,366150
actors,jeans,366107
family,romantic,365744
julianne-moore,kirsten-dunst,365676
books,interviews,365501
constellation-fortune,star-horoscope,365372
constellation-fortune,horoscopes,365330
jennifer-lawrence,julia-roberts,364942
jennifer-lawrence,kristen-stewart,364939
netflix,zee5,364904
chanel,hermes,364858
audrey-hepburn,givenchy,364815
design,furniture,364579
facebook,india,364309
beyonce-knowles,madonna,364205
